rented_at,season,weather,holiday,working_day,temp,feels_like,humidity,windspeed,casual,registered,rentals
2011-01-01T00:00,winter,clear,False,False,0.24,0.29,0.81,0.0,3,13,16
2011-01-01T01:00,winter,clear,False,False,0.22,0.27,0.8,0.0,8,32,40
2011-01-01T02:00,winter,clear,False,False,0.22,0.27,0.8,0.0,5,27,32
2011-01-01T03:00,winter,clear,False,False,0.24,0.29,0.75,0.0,3,10,13
2011-01-01T04:00,winter,clear,False,False,0.24,0.29,0.75,0.0,0,1,1
2011-01-01T05:00,winter,mist,False,False,0.24,0.26,0.75,0.09,0,1,1
2011-01-01T06:00,winter,clear,False,False,0.22,0.27,0.8,0.0,2,0,2
2011-01-01T07:00,winter,clear,False,False,0.2,0.26,0.86,0.0,1,2,3
2011-01-01T08:00,winter,clear,False,False,0.24,0.29,0.75,0.0,1,7,8
2011-01-01T09:00,winter,clear,False,False,0.32,0.35,0.76,0.0,8,6,14
2011-01-01T10:00,winter,clear,False,False,0.38,0.39,0.76,0.25,12,24,36
2011-01-01T11:00,winter,clear,False,False,0.36,0.33,0.81,0.28,26,30,56
2011-01-01T12:00,winter,clear,False,False,0.42,0.42,0.77,0.28,29,55,84
2011-01-01T13:00,winter,mist,False,False,0.46,0.45,0.72,0.3,47,47,94
2011-01-01T14:00,winter,mist,False,False,0.46,0.45,0.72,0.28,35,71,106
2011-01-01T15:00,winter,mist,False,False,0.44,0.44,0.77,0.3,40,70,110
2011-01-01T16:00,winter,mist,False,False,0.42,0.42,0.82,0.3,41,52,93
2011-01-01T17:00,winter,mist,False,False,0.44,0.44,0.82,0.28,15,52,67
2011-01-01T18:00,winter,light rain,False,False,0.42,0.42,0.88,0.25,9,26,35
2011-01-01T19:00,winter,light rain,False,False,0.42,0.42,0.88,0.25,6,31,37
2011-01-01T20:00,winter,mist,False,False,0.4,0.41,0.87,0.25,11,25,36
2011-01-01T21:00,winter,mist,False,False,0.4,0.41,0.87,0.19,3,31,34
2011-01-01T22:00,winter,mist,False,False,0.4,0.41,0.94,0.22,11,17,28
2011-01-01T23:00,winter,mist,False,False,0.46,0.45,0.88,0.3,15,24,39
2011-01-02T00:00,winter,mist,False,False,0.46,0.45,0.88,0.3,4,13,17
2011-01-02T01:00,winter,mist,False,False,0.44,0.44,0.94,0.25,1,16,17
2011-01-02T02:00,winter,mist,False,False,0.42,0.42,1.0,0.28,1,8,9
